time_to_depletion,total_nectar_collected,time_to_first_nectar,success,idle_prob,follow_prob,rep,perc_scouts,sense_range,kappa_0,alpha,beta,w_dir
,48,,False,0.125,,3,,0.2,,,,
,45,,False,0.125,,0,,0.4,,,,
,37,,False,0.125,,1,,0.4,,,,
,54,,False,0.125,,2,,0.4,,,,
,55,,False,0.125,,4,,0.4,,,,
,50,,False,0.125,,4,,0.2,,,,
,47,,False,0.125,,3,,0.4,,,,
,35,,False,0.125,,0,,0.6000000000000001,,,,
,43,,False,0.125,,2,,0.6000000000000001,,,,
,35,,False,0.125,,3,,0.6000000000000001,,,,
,39,,False,0.125,,1,,0.6000000000000001,,,,
,39,,False,0.125,,4,,0.6000000000000001,,,,
,40,,False,0.125,,0,,0.8,,,,
,46,,False,0.125,,3,,0.8,,,,
,46,,False,0.125,,2,,0.8,,,,
,55,,False,0.125,,4,,0.8,,,,
,43,,False,0.125,,0,,1.0,,,,
,45,,False,0.125,,1,,0.8,,,,
,40,,False,0.125,,1,,1.0,,,,
,48,,False,0.125,,2,,1.0,,,,
,47,,False,0.125,,4,,1.0,,,,
,43,,False,0.25,,0,,0.2,,,,
,45,,False,0.25,,1,,0.2,,,,
,46,,False,0.25,,2,,0.2,,,,
,58,,False,0.125,,3,,1.0,,,,
,55,,False,0.25,,3,,0.2,,,,
,48,,False,0.25,,4,,0.2,,,,
,39,,False,0.25,,0,,0.4,,,,
,50,,False,0.25,,2,,0.4,,,,
,50,,False,0.25,,1,,0.4,,,,
,46,,False,0.25,,3,,0.4,,,,
,31,,False,0.25,,4,,0.4,,,,
,49,,False,0.25,,0,,0.6000000000000001,,,,
,48,,False,0.25,,1,,0.6000000000000001,,,,
,52,,False,0.25,,2,,0.6000000000000001,,,,
,39,,False,0.25,,3,,0.6000000000000001,,,,
,41,,False,0.25,,0,,0.8,,,,
,40,,False,0.25,,1,,0.8,,,,
,48,,False,0.25,,2,,0.8,,,,
,50,,False,0.25,,4,,0.6000000000000001,,,,
,36,,False,0.25,,3,,0.8,,,,
,44,,False,0.25,,4,,0.8,,,,
,48,,False,0.25,,0,,1.0,,,,
,46,,False,0.25,,2,,1.0,,,,
,47,,False,0.25,,1,,1.0,,,,
,46,,False,0.25,,3,,1.0,,,,
,40,,False,0.25,,4,,1.0,,,,
,43,,False,0.375,,0,,0.2,,,,
,43,,False,0.375,,1,,0.2,,,,
,39,,False,0.375,,2,,0.2,,,,
,42,,False,0.375,,3,,0.2,,,,
,39,,False,0.375,,4,,0.2,,,,
,51,,False,0.375,,0,,0.4,,,,
,40,,False,0.375,,1,,0.4,,,,
,56,,False,0.375,,2,,0.4,,,,
,44,,False,0.375,,3,,0.4,,,,
,33,,False,0.375,,4,,0.4,,,,
,47,,False,0.375,,0,,0.6000000000000001,,,,
,35,,False,0.375,,1,,0.6000000000000001,,,,
,54,,False,0.375,,2,,0.6000000000000001,,,,
,53,,False,0.375,,3,,0.6000000000000001,,,,
,41,,False,0.375,,4,,0.6000000000000001,,,,
,38,,False,0.375,,0,,0.8,,,,
,43,,False,0.375,,1,,0.8,,,,
,60,,False,0.375,,2,,0.8,,,,
